Genotype,Sample.ID,Treatment.Tank,Inital.Treament,Secondary.Treatment,Date.Sampled,Replicate.Number,Timepoint,Box location after Extraction,Initials,RNA_QBIT_1,RNA_QBIT_2,AVG_RNA_QBIT
1,MD-1,NA,NA,NONE,20240620,NA,TP0,,,,,
2,MD-2,NA,NA,NONE,20240620,NA,TP0,,,,,
3,MD-4,NA,NA,NONE,20240620,NA,TP0,,,,,
4,MD-5,NA,NA,NONE,20240620,NA,TP0,,,,,
1,MD-1-19,Tank_5,Control,NONE,20240723,R2,TP2,,,,,
1,MD-1-3,Tank_5,Control,NONE,20240723,R1,TP2,,,,,
2,MD-2-22,Tank_4,Control,NONE,20240723,R1,TP2,,,,,
2,MD-2-5,Tank_5,Control,NONE,20240723,R2,TP2,,,,,
3,MD-4-1,Tank_4,Control,NONE,20240723,R1,TP2,,,,,
3,MD-4-13,Tank_5,Control,NONE,20240723,R2,TP2,,,,,
4,MD-5-14,Tank_4,Control,NONE,20240723,R1,TP2,,,,,
4,MD-5-5,Tank_5,Control,NONE,20240723,R2,TP2,,,,,
1,MD-1-15,Tank_6,High_Temp,NONE,20240723,R1,TP2,,,,,
1,MD-1-5,Tank_7,High_Temp,NONE,20240723,R2,TP2,,,,,
2,MD-2-1,Tank_7,High_Temp,NONE,20240723,R2,TP2,,,,,
2,MD-2-23,Tank_3,Low_pH,NONE,20240723,R1,TP2,,,,,
2,MD-2-4,Tank_6,High_Temp,NONE,20240723,R1,TP2,,,,,
3,MD-4-4,Tank_7,High_Temp,NONE,20240723,R2,TP2,,,,,
3,MD-4-6,Tank_6,High_Temp,NONE,20240723,R1,TP2,,,,,
4,MD-5-16,Tank_6,High_Temp,NONE,20240723,R1,TP2,,,,,
4,MD-5-8,Tank_7,High_Temp,NONE,20240723,R2,TP2,,,,,
1,MD-1-11,Tank_2,Low_pH,NONE,20240723,R2,TP2,,,,,
1,MD-1-20,Tank_3,Low_pH,NONE,20240723,R1,TP2,,,,,
2,MD-2-25,Tank_2,Low_pH,NONE,20240723,R2,TP2,,,,,
3,MD-4-12,Tank_3,Low_pH,NONE,20240723,R1,TP2,,,,,
3,MD-4-9,Tank_2,Low_pH,NONE,20240723,R2,TP2,,,,,
4,MD-5-23,Tank_3,Low_pH,NONE,20240723,R1,TP2,,,,,
4,MD-5-26,Tank_2,Low_pH,NONE,20240723,R2,TP2,,,,,
1,MD-1-14,Tank_5,Control,NONE,20240806,R2,TP3,,,,,
1,MD-1-2,Tank_4,Control,NONE,20240806,R1,TP3,,,,,
2,MD-2-15,Tank_4,Control,NONE,20240806,R1,TP3,,,,,
2,MD-2-8,Tank_5,Control,NONE,20240806,R2,TP3,,,,,
3,MD-4-19,Tank_4,Control,NONE,20240806,R1,TP3,,,,,
3,MD-4-20,Tank_5,Control,NONE,20240806,R2,TP3,,,,,
4,MD-5-24,Tank_4,Control,NONE,20240806,R1,TP3,,,,,
4,MD-5-6,Tank_5,Control,NONE,20240806,R2,TP3,,,,,
1,MD-1-21,Tank_6,High_Temp,NONE,20240806,R2,TP3,,,,,
1,MD-1-22,Tank_7,High_Temp,NONE,20240806,R1,TP3,,,,,
2,MD-2-12,Tank_7,High_Temp,NONE,20240806,R1,TP3,,,,,
2,MD-2-14,Tank_6,High_Temp,NONE,20240806,R2,TP3,,,,,
3,MD-4-18,Tank_7,High_Temp,NONE,20240806,R1,TP3,,,,,
3,MD-4-23,Tank_6,High_Temp,NONE,20240806,R2,TP3,,,,,
4,MD-5-10,Tank_7,High_Temp,NONE,20240806,R1,TP3,,,,,
4,MD-5-15,Tank_6,High_Temp,NONE,20240806,R2,TP3,,,,,
1,MD-1-6,Tank_2,Low_pH,NONE,20240806,R2,TP3,,,,,
1,MD-1-8,Tank_3,Low_pH,NONE,20240806,R1,TP3,,,,,
2,MD-2-10,Tank_3,Low_pH,NONE,20240806,R1,TP3,,,,,
2,MD-2-2,Tank_2,Low_pH,NONE,20240806,R2,TP3,,,,,
3,MD-4-25,Tank_3,Low_pH,NONE,20240806,R1,TP3,,,,,
3,MD-4-5,Tank_2,Low_pH,NONE,20240806,R2,TP3,,,,,
4,MD-5-1,Tank_2,Low_pH,NONE,20240806,R2,TP3,,,,,
4,MD-5-13,Tank_3,Low_pH,NONE,20240806,R1,TP3,,,,,
1,MD-1-24,Tank_5,Control,Control,20240815,R2,TP4,,,,,
1,MD-1-25,Tank_4,Control,High_Temp,20240815,R2,TP4,,,,,
1,MD-1-7,Tank_4,Control,High_Temp,20240815,R2,TP4,,,,,
1,MD-1-9,Tank_5,Control,Control,20240815,R1,TP4,,,,,
2,MD-2-18,Tank_5,Control,Control,20240815,R2,TP4,,,,,
2,MD-2-19,Tank_4,Control,High_Temp,20240815,R2,TP4,,,,,
2,MD-2-24,Tank_4,Control,High_Temp,20240815,R2,TP4,,,,,
2,MD-2-6,Tank_5,Control,Control,20240815,R1,TP4,,,,,
3,MD-4-10,Tank_4,Control,High_Temp,20240815,R2,TP3,,,,,
3,MD-4-17,Tank_4,Control,High_Temp,20240815,R2,TP4,,,,,
3,MD-4-2,Tank_5,Control,Control,20240815,R1,TP4,,,,,
3,MD-4-26,Tank_5,Control,Control,20240815,R2,TP4,,,,,
4,MD-5-18,Tank_4,Control,High_Temp,20240815,R1,TP4,,,,,
4,MD-5-19,Tank_4,Control,High_Temp,20240815,R2,TP4,,,,,
4,MD-5-21,Tank_5,Control,Control,20240815,R1,TP4,,,,,
4,MD-5-9,Tank_5,Control,Control,20240815,R2,TP4,,,,,
1,MD-1-12,Tank_7,High_Temp,Control,20240815,R2,TP4,,,,,
1,MD-1-16,Tank_6,High_Temp,High_Temp,20240815,R1,TP4,,,,,
1,MD-1-17,Tank_6,High_Temp,High_Temp,20240815,R2,TP4,,,,,
1,MD-1-26,Tank_7,High_Temp,Control,20240815,R2,TP4,,,,,
2,MD-2-13,Tank_6,High_Temp,High_Temp,20240815,R2,TP4,,,,,
2,MD-2-26,Tank_7,High_Temp,Control,20240815,R2,TP4,,,,,
2,MD-2-3,Tank_6,High_Temp,High_Temp,20240815,R1,TP4,,,,,
2,MD-2-7,Tank_7,High_Temp,Control,20240815,R1,TP4,,,,,
3,MD-4-11,Tank_7,High_Temp,Control,20240815,R1,TP4,,,,,
3,MD-4-16,Tank_7,High_Temp,Control,20240815,R1,TP4,,,,,
3,MD-4-3,Tank_6,High_Temp,High_Temp,20240815,R2,TP4,,,,,
3,MD-4-7,Tank_6,High_Temp,High_Temp,20240815,R1,TP4,,,,,
4,MD-5-11,Tank_6,High_Temp,High_Temp,20240815,R1,TP4,,,,,
4,MD-5-20,Tank_7,High_Temp,Control,20240815,R2,TP4,,,,,
4,MD-5-4,Tank_7,High_Temp,Control,20240815,R1,TP4,,,,,
4,MD-5-7,Tank_6,High_Temp,High_Temp,20240815,R2,TP4,,,,,
1,MD-1-10,Tank_3,Low_pH,Control,20240815,R2,TP4,,,,,
1,MD-1-13,Tank_2,Low_pH,High_Temp,20240815,R1,TP4,,,,,
1,MD-1-18,Tank_3,Low_pH,Control,20240815,R1,TP4,,,,,
1,MD-1-4,Tank_2,Low_pH,High_Temp,20240815,R2,TP4,,,,,
2,MD-2-17,Tank_3,Low_pH,Control,20240815,R2,TP4,,,,,
2,MD-2-20,Tank_2,Low_pH,High_Temp,20240815,R2,TP4,,,,,
2,MD-2-21,Tank_3,Low_pH,Control,20240815,R1,TP4,,,,,
2,MD-2-9,Tank_2,Low_pH,High_Temp,20240815,R2,TP3,,,,,
3,MD-4-15,Tank_2,Low_pH,High_Temp,20240815,R1,TP4,,,,,
3,MD-4-21,Tank_2,Low_pH,High_Temp,20240815,R2,TP4,,,,,
3,MD-4-22,Tank_3,Low_pH,Control,20240815,R1,TP4,,,,,
3,MD-4-24,Tank_3,Low_pH,Control,20240815,R2,TP4,,,,,
4,MD-5-17,Tank_2,Low_pH,High_Temp,20240815,R1,TP4,,,,,
4,MD-5-22,Tank_3,Low_pH,Control,20240815,R1,TP4,,,,,
4,MD-5-25,Tank_2,Low_pH,High_Temp,20240815,R2,TP4,,,,,
4,MD-5-3,Tank_3,Low_pH,Control,20240815,R2,TP4,,,,,
