Sample.ID,Treatment.Tank,Inital.Treament,Secondary.Treatment,Date.Sampled,Date_extraction,Date_LibraryPrep,Initals,Qbit #1 ug/uL,Qbit #2 ug/uL,Qbit avg ug/uL,Primer,Notebook_post
MD-4-19,Tank_4,Control,NONE,20240806,20250606,20250611,FF,6,5.98,5.99,11,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-4-22,Tank_3,Low_pH,Control,20240815,20250526,20250611,FF,4.3,4.28,4.29,12,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-5-26,Tank_2,Low_pH,NONE,20240723,20250526,20250612,FF,17.1,17.1,17.1,13,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-5-13,Tank_3,Low_pH,NONE,20240806,20250525,20250612,FF,18.9,18.9,18.9,14,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-4-15,Tank_2,Low_pH,High_Temp,20240815,20250527,20250612,FF,25.6,25.6,25.6,16,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-5-21,Tank_5,Control,Control,20240815,20250529,20250612,FF,21.6,21.6,21.6,17,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-5-24,Tank_4,Control,NONE,20240806,20250527,20250612,FF,8.68,8.66,8.67,18,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-1-5,Tank_7,High_Temp,NONE,20240723,20250523,20250612,FF,6.52,6.5,6.51,19,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-5-25,Tank_2,Low_pH,High_Temp,20240815,20250526,20250612,FF,14.4,14.4,14.4,20,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-2-5,Tank_5,Control,NONE,20240723,20250526,20250613,FF,5,4.98,4.99,22,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-1-13,Tank_2,Low_pH,High_Temp,20240815,20250527,20250613,FF,10.4,10.4,10.4,23,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-2-14,Tank_6,High_Temp,NONE,20240806,20250529,20250613,FF,1.86,1.85,1.855,24,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-5-15,Tank_6,High_Temp,NONE,20240806,20250515,20250613,FF,6.32,6.3,6.31,25,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-4-18,Tank_7,High_Temp,NONE,20240806,20250529,20250613,FF,10.3,10.3,10.3,26,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-2,NA,NA,NONE,20240620,20250526,20250613,FF,5.38,5.36,5.37,27,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-5-1,Tank_2,Low_pH,NONE,20240806,20250529,20250613,FF,3.6,3.6,3.6,28,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-5-17,Tank_2,Low_pH,High_Temp,20240815,20250524,20250613,FF,14.2,14.1,14.15,30,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-4-23,Tank_6,High_Temp,NONE,20240806,20250528,20250616,FF,10.4,10.4,10.4,31,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-1-2,Tank_4,Control,NONE,20240806,20250528,20250613,FF,5.32,5.3,5.31,32,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-1-22,Tank_7,High_Temp,NONE,20240806,20250527,20250619,FF,4.8,4.8,4.8,74,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-4-20,Tank_5,Control,NONE,20240806,20250528,20250616,JA,8.74,8.7,8.72,37,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-2-15,Tank_4,Control,NONE,20240806,20250529,20250616,JA,11.1,11.1,11.1,38,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-1-14,Tank_5,Control,NONE,20240806,20250528,20250616,JA,11.7,11.6,11.65,39,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-5-16,Tank_6,High_Temp,NONE,20240723,20250523,20250616,JA,20.6,20.6,20.6,40,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-2-17,Tank_3,Low_pH,Control,20240815,20250524,20250616,JA,5.8,5.76,5.78,41,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-2-1,Tank_7,High_Temp,NONE,20240723,20250526,20250616,JA,14.4,14.3,14.35,43,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-4-12,Tank_3,Low_pH,NONE,20240723,20250523,20250616,JA,4.88,4.86,4.87,44,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-2-9,Tank_2,Low_pH,High_Temp,20240815,20250530,20250617,JA,24,24,24,45,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-1-9,Tank_5,Control,Control,20240815,20250530,20250617,JA,39.2,39.2,39.2,46,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-2-21,Tank_3,Low_pH,Control,20240815,20250530,20250617,JA,34.4,34.2,34.3,47,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-5-9,Tank_5,Control,Control,20240815,20250529,20250617,JA,8.64,8.64,8.64,48,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-5-5,Tank_5,Control,NONE,20240723,20250527,20250617,JA,5.52,5.5,5.51,49,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-4-1,Tank_4,Control,NONE,20240723,20250526,20250617,JA,8.36,8.32,8.34,50,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-5-22,Tank_3,Low_pH,Control,20240815,20250530,20250617,JA,9.72,9.68,9.7,51,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-2-6,Tank_5,Control,Control,20240815,20250529,20250617,JA,8.6,8.58,8.59,52,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-1-20,Tank_3,Low_pH,NONE,20240723,20250527,20250618,JA,7.1,7.1,7.1,67,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/331a2736be2c62d38ea3f69f9f1a8ce836906a78/_posts/2025-06-30-High-Sensitivity-dsDNA.md
MD-2-4,Tank_6,High_Temp,NONE,20240723,20250523,20250618,JA,1.85,1.84,1.845,68,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/331a2736be2c62d38ea3f69f9f1a8ce836906a78/_posts/2025-06-30-High-Sensitivity-dsDNA.md
MD-2-10,Tank_3,Low_pH,NONE,20240806,20250528,20250618,JA,4.66,4.66,4.66,69,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/331a2736be2c62d38ea3f69f9f1a8ce836906a78/_posts/2025-06-30-High-Sensitivity-dsDNA.md
MD-4-5,Tank_2,Low_pH,NONE,20240806,20250527,20250618,JA,2.66,2.66,2.66,70,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/331a2736be2c62d38ea3f69f9f1a8ce836906a78/_posts/2025-06-30-High-Sensitivity-dsDNA.md
MD-2-2,Tank_2,Low_pH,NONE,20240806,20250528,20250618,JA,2.62,2.62,2.62,71,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/331a2736be2c62d38ea3f69f9f1a8ce836906a78/_posts/2025-06-30-High-Sensitivity-dsDNA.md
MD-1-8,Tank_3,Low_pH,NONE,20240806,20250529,20250619,FF,8.76,8.74,8.75,72,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-2-7,Tank_7,High_Temp,Control,20240815,20250603,20250619,FF,5.54,5.52,5.53,73,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-2-3,Tank_6,High_Temp,High_Temp,20240815,20250531,20250619,FF,5.66,5.66,5.66,75,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-5-11,Tank_6,High_Temp,High_Temp,20240815,20250531,20250619,FF,6.32,6.3,6.31,76,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-4-25,Tank_3,Low_pH,NONE,20240806,20250529,20250624,JA/NC,4.54,4.54,4.54,77,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/331a2736be2c62d38ea3f69f9f1a8ce836906a78/_posts/2025-06-30-High-Sensitivity-dsDNA.md
MD-2-13,Tank_6,High_Temp,High_Temp,20240815,20250531,20250619,JA/NC,4.44,4.42,4.43,77,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-4-7,Tank_6,High_Temp,High_Temp,20240815,20250531,20250619,JA/NC,5.78,5.76,5.77,78,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
MD-1-10,Tank_3,Low_pH,Control,20240815,20250526,20250624,JA/NC,7.1,7.1,7.1,78,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/331a2736be2c62d38ea3f69f9f1a8ce836906a78/_posts/2025-06-30-High-Sensitivity-dsDNA.md
MD-2-19,Tank_4,Control,High_Temp,20240815,20250531,20250619,FF,4.26,4.2,4.23,79,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a5ff5f0b5f0fd1ca7c6e4a7422897bb5df2df873/_posts/2025-06-29-%20High-Sensitivity-dsDNA.md
