Date,sample-id,Species,box,Chamber.Channel,Channel,Bin,Run,Temp.Cat,Treatment,Chamber.Vol.L,Notes
20240708,DL-1-18,,1,1,1,1,1,27,acclimation,0.6,
20240708,MD-4-1,,1,2,2,1,1,27,acclimation,0.6,
20240708,DL-3-21,,1,3,3,1,1,27,acclimation,0.6,
20240708,MD-1-11,,1,4,4,1,1,27,acclimation,0.6,
20240708,DL-2-8,,2,5,1,1,1,27,acclimation,0.6,
20240708,DL-4-21,,2,6,2,1,1,27,acclimation,0.6,
20240708,MD-5-10,,2,7,3,2,1,27,acclimation,0.6,
20240708,DL-2-4,,2,8,4,2,1,27,acclimation,0.6,
20240708,MD-5-26,,3,9,1,2,1,27,acclimation,0.6,
20240708,MD-2-14,,3,10,2,2,1,27,acclimation,0.6,
20240708,MD-4-18,,3,11,3,2,1,27,acclimation,0.6,
20240708,BLANK-1,,3,12,4,2,1,27,acclimation,0.6,
20240708,DL-1-4,,1,1,1,1,2,27,acclimation,0.6,
20240708,MD-2-7,,1,2,2,1,2,27,acclimation,0.6,
20240708,DL-3-11,,1,3,3,1,2,27,acclimation,0.6,
20240708,DL-4-8,,1,4,4,1,2,27,acclimation,0.6,
20240708,DL-4-6,,2,5,1,1,2,27,acclimation,0.6,
20240708,MD-5-22,,2,6,2,1,2,27,acclimation,0.6,
20240708,MD-5-7,,2,7,3,2,2,27,acclimation,0.6,
20240708,MD-4-13,,2,8,4,2,2,27,acclimation,0.6,
20240708,BLANK-2,,3,9,1,2,2,27,acclimation,0.6,
20240708,DL-3-18,,3,10,2,2,2,27,acclimation,0.6,
20240708,DL-4-26,,3,11,3,2,2,27,acclimation,0.6,
20240708,MD-4-11,,3,12,4,2,2,27,acclimation,0.6,BLANK 1
20240708,BLANK-3,,1,1,1,1,3,27,acclimation,0.6,
20240708,MD-4-6,,1,2,2,1,3,27,acclimation,0.6,
20240708,DL-3-2,,1,3,3,1,3,27,acclimation,0.6,
20240708,DL-4-23,,1,4,4,1,3,27,acclimation,0.6,
20240708,MD-4-20,,2,5,1,1,3,27,acclimation,0.6,
20240708,DL-4-25,,2,6,2,1,3,27,acclimation,0.6,
20240708,MD-4-26,,2,7,3,2,3,27,acclimation,0.6,
20240708,DL-1-14,,2,8,4,2,3,27,acclimation,0.6,
20240708,MD-1-19,,3,9,1,2,3,27,acclimation,0.6,
20240708,DL-1-20,,3,10,2,2,3,27,acclimation,0.6,
20240708,DL-1-10,,3,11,3,2,3,27,acclimation,0.6,
20240708,DL-4-20,,3,12,4,2,3,27,acclimation,0.6,
20240708,BLANK-4,,1,1,1,1,4,27,acclimation,0.6,
20240708,MD-2-31,,1,2,2,1,4,27,acclimation,0.6,
20240708,DL-4-19,,1,3,3,1,4,27,acclimation,0.6,
20240708,DL-3-14,,1,4,4,1,4,27,acclimation,0.6,
20240708,MD-4-15,,2,5,1,1,4,27,acclimation,0.6,
20240708,MD-4-23,,2,6,2,1,4,27,acclimation,0.6,
20240708,DL-3-17,,2,7,3,2,4,27,acclimation,0.6,
20240708,DL-2-2,,2,8,4,2,4,27,acclimation,0.6,
20240708,MD-5-9,,3,9,1,2,4,27,acclimation,0.6,
20240708,MD-1-3,,3,10,2,2,4,27,acclimation,0.6,
20240708,MD-2-6,,3,11,3,2,4,27,acclimation,0.6,
20240708,MD-1-6,,3,12,4,2,4,27,acclimation,0.6,
20240708,DL-3-23,,1,1,1,1,5,27,acclimation,0.6,
20240708,MD-5-16,,1,2,2,1,5,27,acclimation,0.6,
20240708,DL-3-24,,1,3,3,1,5,27,acclimation,0.6,
20240708,DL-4-12,,1,4,4,1,5,27,acclimation,0.6,
20240708,BLANK-5,,2,5,1,1,5,27,acclimation,0.6,
20240708,MD-1-1,,2,6,2,1,5,27,acclimation,0.6,
20240708,DL-2-12,,2,7,3,2,5,27,acclimation,0.6,
20240708,MD-1-21,,2,8,4,2,5,27,acclimation,0.6,
20240708,DL-2-20,,3,9,1,2,5,27,acclimation,0.6,
20240708,MD-2-16,,3,10,2,2,5,27,acclimation,0.6,
20240708,MD-2-23,,3,11,3,2,5,27,acclimation,0.6,
20240708,DL-3-15,,3,12,4,2,5,27,acclimation,0.6,
20240708,MD-2-8,,1,1,1,1,6,27,acclimation,0.6,
20240708,MD-5-25,,1,2,2,1,6,27,acclimation,0.6,
20240708,MD-2-13,,1,3,3,1,6,27,acclimation,0.6,
20240708,DL-3-8,,1,4,4,1,6,27,acclimation,0.6,
20240708,MD-1-24,,2,5,1,1,6,27,acclimation,0.6,
20240708,MD-5-13,,2,6,2,1,6,27,acclimation,0.6,
20240708,MD-1-26,,2,7,3,2,6,27,acclimation,0.6,
20240708,MD-5-2,,2,8,4,2,6,27,acclimation,0.6,
20240708,BLANK-6,,3,9,1,2,6,27,acclimation,0.6,
20240708,DL-2-22,,3,10,2,2,6,27,acclimation,0.6,
20240708,DL -2-16,,3,11,3,2,6,27,acclimation,0.6,
20240708,DL-4-10,,3,12,4,2,6,27,acclimation,0.6,
20240708,MD-5-12,,1,1,1,1,7,27,acclimation,0.6,
20240708,md-2-5,,1,2,2,1,7,27,acclimation,0.6,
20240708,DL-4-17,,1,3,3,1,7,27,acclimation,0.6,
20240708,MD-1-23,,1,4,4,1,7,27,acclimation,0.6,
20240708,MD-5-14,,2,5,1,1,7,27,acclimation,0.6,
20240708,DL-3-26,,2,6,2,1,7,27,acclimation,0.6,
20240708,MD-4-12,,2,7,3,2,7,27,acclimation,0.6,
20240708,MD-1-25,,2,8,4,2,7,27,acclimation,0.6,
20240708,MD-1-9,,3,9,1,2,7,27,acclimation,0.6,
20240708,DL-1-9,,3,10,2,2,7,27,acclimation,0.6,
20240708,BLANK-7,,3,11,3,2,7,27,acclimation,0.6,
20240708,MD-5-1,,3,12,4,2,7,27,acclimation,0.6,
20240708,DL-1-24,,1,1,1,1,8,27,acclimation,0.6,
20240708,DL-2-21,,1,2,2,1,8,27,acclimation,0.6,
20240708,BLANK-8,,1,3,3,1,8,27,acclimation,0.6,
20240708,DL-1-5,,1,4,4,1,8,27,acclimation,0.6,
20240708,MD-4-9,,2,5,1,1,8,27,acclimation,0.6,
20240708,DL-1-16,,2,6,2,1,8,27,acclimation,0.6,
20240708,DL-2-23,,2,7,3,2,8,27,acclimation,0.6,
20240708,DL-4-24,,2,8,4,2,8,27,acclimation,0.6,
20240708,MD-4-4,,3,9,1,2,8,27,acclimation,0.6,
20240708,DL-1-25,,3,10,2,2,8,27,acclimation,0.6,
20240708,MD-4-5,,3,11,3,2,8,27,acclimation,0.6,
20240708,MD-4-10,,3,12,4,2,8,27,acclimation,0.6,
20240708,MD-5-24,,1,1,1,1,9,27,acclimation,0.6,
20240708,DL-2-9,,1,2,2,1,9,27,acclimation,0.6,
20240708,BLANK-9,,1,3,3,1,9,27,acclimation,0.6,
20240708,DL-2-15,,1,4,4,1,9,27,acclimation,0.6,
20240708,DL-1-3,,2,5,1,1,9,27,acclimation,0.6,
20240708,DL-3-1,,2,6,2,1,9,27,acclimation,0.6,
20240708,MD-4-21,,2,7,3,2,9,27,acclimation,0.6,
20240708,MD-1-2,,2,8,4,2,9,27,acclimation,0.6,
20240708,DL-2-17,,3,9,1,2,9,27,acclimation,0.6,
20240708,DL-3-16,,3,10,2,2,9,27,acclimation,0.6,
20240708,MD-1-5,,3,11,3,2,9,27,acclimation,0.6,
20240708,MD-5-3,,3,12,4,2,9,27,acclimation,0.6,
20240708,DL-2-18,,1,1,1,1,10,27,acclimation,0.6,
20240708,MD-2-26,,1,2,2,1,10,27,acclimation,0.6,
20240708,MD-2-20,,1,3,3,1,10,27,acclimation,0.6,
20240708,DL-1-2,,1,4,4,1,10,27,acclimation,0.6,
20240708,MD-2-12,,2,5,1,1,10,27,acclimation,0.6,
20240708,MD-2-11,,2,6,2,1,10,27,acclimation,0.6,
20240708,DL-2-6,,2,7,3,2,10,27,acclimation,0.6,
20240708,MD-2-15,,2,8,4,2,10,27,acclimation,0.6,
20240708,BLANK-10,,3,9,1,2,10,27,acclimation,0.6,
20240709,DL-1-15,,1,1,1,1,11,27,acclimation,0.6,
20240709,DL-2-1,,1,2,2,1,11,27,acclimation,0.6,
20240709,MD-5-4,,1,3,3,1,11,27,acclimation,0.6,
20240709,DL-4-1,,1,4,4,1,11,27,acclimation,0.6,
20240709,MD-2-1,,2,5,1,1,11,27,acclimation,0.6,
20240709,DL-3-3,,2,6,2,1,11,27,acclimation,0.6,
20240709,MD-1-10,,2,7,3,2,11,27,acclimation,0.6,
20240709,MD-1-8,,2,8,4,2,11,27,acclimation,0.6,
20240709,DL-3-4,,3,9,1,2,11,27,acclimation,0.6,
20240709,DL-2-3,,3,10,2,2,11,27,acclimation,0.6,
20240709,MD-4-2,,3,11,3,2,11,27,acclimation,0.6,
20240709,BLANK-11,,3,12,4,2,11,27,acclimation,0.6,
20240709,BLANK-12,,1,1,1,1,12,27,acclimation,0.6,
20240709,DL-1-1,,1,2,2,1,12,27,acclimation,0.6,
20240709,MD-1-7,,1,3,3,1,12,27,acclimation,0.6,
20240709,MD-2-2,,1,4,4,1,12,27,acclimation,0.6,
20240709,DL-2-5,,2,5,1,1,12,27,acclimation,0.6,
20240709,DL-3-5,,2,6,2,1,12,27,acclimation,0.6,
20240709,DL-4-2,,2,7,3,2,12,27,acclimation,0.6,
20240709,MD-4-3,,2,8,4,2,12,27,acclimation,0.6,
20240709,MD-5-5,,3,9,1,2,12,27,acclimation,0.6,
20240709,MD-2-4,,3,10,2,2,12,27,acclimation,0.6,
20240709,DL-1-6,,3,11,3,2,12,27,acclimation,0.6,
20240709,DL-2-7,,3,12,4,2,12,27,acclimation,0.6,
20240709,MD-1-4,,1,1,1,1,13,27,acclimation,0.6,
20240709,DL-1-17,,1,2,2,1,13,27,acclimation,0.6,
20240709,MD-1-20,,1,3,3,1,13,27,acclimation,0.6,
20240709,MD-2-10,,1,4,4,1,13,27,acclimation,0.6,
20240709,DL-3-7,,2,5,1,1,13,27,acclimation,0.6,
20240709,DL-3-6,,2,6,2,1,13,27,acclimation,0.6,
20240709,BLANK-13,,2,7,3,2,13,27,acclimation,0.6,
20240709,DL-4-3,,2,8,4,2,13,27,acclimation,0.6,
20240709,MD-5-6,,3,9,1,2,13,27,acclimation,0.6,
20240709,MD-4-7,,3,10,2,2,13,27,acclimation,0.6,
20240709,DL-2-11,,3,11,3,2,13,27,acclimation,0.6,
20240709,DL-4-4,,3,12,4,2,13,27,acclimation,0.6,
20240709,MD-1-12,,1,1,1,1,14,27,acclimation,0.6,
20240709,DL-4-5,,1,2,2,1,14,27,acclimation,0.6,
20240709,MD-5-8,,1,3,3,1,14,27,acclimation,0.6,
20240709,MD-2-9,,1,4,4,1,14,27,acclimation,0.6,
20240709,BLANK-14,,2,5,1,1,14,27,acclimation,0.6,
20240709,DL-1-7,,2,6,2,1,14,27,acclimation,0.6,
20240709,DL-2-10,,2,7,3,2,14,27,acclimation,0.6,
20240709,MD-4-8,,2,8,4,2,14,27,acclimation,0.6,
20240709,DL-1-19,,3,9,1,2,14,27,acclimation,0.6,
20240709,DL-2-21,,3,10,2,2,14,27,acclimation,0.6,
20240709,MD-5-11,,3,11,3,2,14,27,acclimation,0.6,
20240709,MD-4-14,,3,12,4,2,14,27,acclimation,0.6,
20240709,DL-1-21,,1,1,1,1,15,27,acclimation,0.6,
20240709,MD-5-21,,1,2,2,1,15,27,acclimation,0.6,
20240709,MD-2-18,,1,3,3,1,15,27,acclimation,0.6,
20240709,DL-4-15,,1,4,4,1,15,27,acclimation,0.6,
20240709,DL-1-11,,2,5,1,1,15,27,acclimation,0.6,
20240709,MD-2-17,,2,6,2,1,15,27,acclimation,0.6,
20240709,MD-4-16,,2,7,3,2,15,27,acclimation,0.6,
20240709,BLANK-15,,2,8,4,2,15,27,acclimation,0.6,
20240709,DL-3-9,,3,9,1,2,15,27,acclimation,0.6,
20240709,DL-2-13,,3,10,2,2,15,27,acclimation,0.6,
20240709,MD-5-15,,3,11,3,2,15,27,acclimation,0.6,
20240709,MD-4-17,,3,12,4,2,15,27,acclimation,0.6,
20240709,MD-1-13,,1,1,1,1,16,27,acclimation,0.6,
20240709,BLANK-16,,1,2,2,1,16,27,acclimation,0.6,
20240709,MD-4-19,,1,3,3,1,16,27,acclimation,0.6,
20240709,DL-1-8,,1,4,4,1,16,27,acclimation,0.6,
20240709,DL-3-10,,2,5,1,1,16,27,acclimation,0.6,
20240709,MD-5-17,,2,6,2,1,16,27,acclimation,0.6,
20240709,MD-2-25,,2,7,3,2,16,27,acclimation,0.6,
20240709,DL-1-12,,2,8,4,2,16,27,acclimation,0.6,
20240709,DL-3-12,,3,9,1,2,16,27,acclimation,0.6,
20240709,DL-4-7,,3,10,2,2,16,27,acclimation,0.6,
20240709,DL-4-9,,3,11,3,2,16,27,acclimation,0.6,
20240709,MD-1-14,,3,12,4,2,16,27,acclimation,0.6,
20240709,DL-1-23,,1,1,1,1,17,27,acclimation,0.6,
20240709,DL-4-11,,1,2,2,1,17,27,acclimation,0.6,
20240709,MD-5-18,,1,3,3,1,17,27,acclimation,0.6,
20240709,MD-2-19,,1,4,4,1,17,27,acclimation,0.6,
20240709,DL-3-19,,2,5,1,1,17,27,acclimation,0.6,
20240709,DL-3-13,,2,6,2,1,17,27,acclimation,0.6,
20240709,BLANK-17,,2,7,3,2,17,27,acclimation,0.6,
20240709,DL-2-14,,2,8,4,2,17,27,acclimation,0.6,
20240709,MD-4-22,,3,9,1,2,17,27,acclimation,0.6,
20240709,MD-1-15,,3,10,2,2,17,27,acclimation,0.6,
20240709,DL-2-19,,3,11,3,2,17,27,acclimation,0.6,
20240709,MD-2-22,,3,12,4,2,17,27,acclimation,0.6,In both run 18 and 17 and pnr data was place in file 18 because of run time
20240709,DL-1-13,,1,1,1,1,18,27,acclimation,0.6,
20240709,MD-4-24,,1,2,2,1,18,27,acclimation,0.6,
20240709,DL-3-20,,1,3,3,1,18,27,acclimation,0.6,
20240709,MD-4-25,,1,4,4,1,18,27,acclimation,0.6,
20240709,DL-2-24,,2,5,1,1,18,27,acclimation,0.6,
20240709,MD-5-20,,2,6,2,1,18,27,acclimation,0.6,
20240709,DL-1-22,,2,7,3,2,18,27,acclimation,0.6,
20240709,MD-2-22,,2,8,4,2,18,27,acclimation,0.6,
20240709,BLANK-18,,3,9,1,2,18,27,acclimation,0.6,
20240709,DL-3-22,,3,10,2,2,18,27,acclimation,0.6,
20240709,MD-1-16,,3,11,3,2,18,27,acclimation,0.6,
20240709,DL-4-13,,3,12,4,2,18,27,acclimation,0.6,
20240709,DL-4-16,,1,1,1,1,19,27,acclimation,0.6,
20240709,DL-4-14,,1,2,2,1,19,27,acclimation,0.6,
20240709,MD-2-36,,1,3,3,1,19,27,acclimation,0.6,
20240709,DL-3-25,,1,4,4,1,19,27,acclimation,0.6,
20240709,DL-1-26,,2,5,1,1,19,27,acclimation,0.6,
20240709,MD-2-3,,2,6,2,1,19,27,acclimation,0.6,
20240709,DL-4-22,,2,7,3,2,19,27,acclimation,0.6,
20240709,MD-1-18,,2,8,4,2,19,27,acclimation,0.6,
20240709,DL-2-25,,3,9,1,2,19,27,acclimation,0.6,
20240709,DL-4-18,,3,10,2,2,19,27,acclimation,0.6,
20240709,MD-5-23,,3,11,3,2,19,27,acclimation,0.6,
20240709,BLANK-19,,3,12,4,2,19,27,acclimation,0.6,
,,,1,1,1,1,20,27,acclimation,0.6,
,,,1,2,2,1,20,27,acclimation,0.6,
,,,1,3,3,1,20,27,acclimation,0.6,
,,,1,4,4,1,20,27,acclimation,0.6,
,,,2,5,1,1,20,27,acclimation,0.6,
,,,2,6,2,1,20,27,acclimation,0.6,
,,,2,7,3,2,20,27,acclimation,0.6,
,,,2,8,4,2,20,27,acclimation,0.6,
,,,3,9,1,2,20,27,acclimation,0.6,
,,,3,10,2,2,20,27,acclimation,0.6,
,,,3,11,3,2,20,27,acclimation,0.6,
,,,3,12,4,2,20,27,acclimation,0.6,