sample-id,Date,Species,box,Chamber.Channel,Channel,Bin,Run,Temp.Cat,Treatment,Chamber.Vol.L,Notes
BLANK-1,20240708,BLANK,3,12,4,2,1,27,acclimation,0.645,
BLANK-10,20240708,BLANK,3,9,1,2,10,27,acclimation,0.645,
BLANK-11,20240709,BLANK,3,12,4,2,11,27,acclimation,0.645,
BLANK-12,20240709,BLANK,1,1,1,1,12,27,acclimation,0.645,
BLANK-13,20240709,BLANK,2,7,3,2,13,27,acclimation,0.645,
BLANK-14,20240709,BLANK,2,5,1,1,14,27,acclimation,0.645,
BLANK-15,20240709,BLANK,2,8,4,2,15,27,acclimation,0.645,
BLANK-16,20240709,BLANK,1,2,2,1,16,27,acclimation,0.645,
BLANK-17,20240709,BLANK,2,7,3,2,17,27,acclimation,0.645,
BLANK-18,20240709,BLANK,3,9,1,2,18,27,acclimation,0.645,
BLANK-19,20240709,BLANK,3,12,4,2,19,27,acclimation,0.645,
BLANK-2,20240708,BLANK,3,9,1,2,2,27,acclimation,0.645,
BLANK-20,20240709,BLANK,1,1,1,1,20,27,acclimation,0.645,
BLANK-3,20240708,BLANK,1,1,1,1,3,27,acclimation,0.645,
BLANK-4,20240708,BLANK,1,1,1,1,4,27,acclimation,0.645,
BLANK-5,20240708,BLANK,2,5,1,1,5,27,acclimation,0.645,
BLANK-6,20240708,BLANK,3,9,1,2,6,27,acclimation,0.645,
BLANK-7,20240708,BLANK,3,11,3,2,7,27,acclimation,0.645,
BLANK-8,20240708,BLANK,1,3,3,1,8,27,acclimation,0.645,
BLANK-9,20240708,BLANK,1,3,3,1,9,27,acclimation,0.645,
DL-1-1,20240709,Diploria labyrinthiformis,1,2,2,1,12,27,acclimation,0.635,
DL-1-10,20240708,Diploria labyrinthiformis,3,11,3,2,3,27,acclimation,0.636,
DL-1-11,20240709,Diploria labyrinthiformis,2,5,1,1,15,27,acclimation,0.633,
DL-1-12,20240709,Diploria labyrinthiformis,2,8,4,2,16,27,acclimation,0.625,
DL-1-13,20240709,Diploria labyrinthiformis,1,1,1,1,18,27,acclimation,0.63,
DL-1-14,20240708,Diploria labyrinthiformis,2,8,4,2,3,27,acclimation,0.637,
DL-1-15,20240709,Diploria labyrinthiformis,1,1,1,1,11,27,acclimation,0.626,
DL-1-16,20240708,Diploria labyrinthiformis,2,6,2,1,8,27,acclimation,0.625,
DL-1-17,20240709,Diploria labyrinthiformis,1,2,2,1,13,27,acclimation,0.625,
DL-1-18,20240708,Diploria labyrinthiformis,1,1,1,1,1,27,acclimation,0.626,
DL-1-19,20240709,Diploria labyrinthiformis,3,9,1,2,14,27,acclimation,0.651,
DL-1-2,20240708,Diploria labyrinthiformis,1,4,4,1,10,27,acclimation,0.635,
DL-1-20,20240708,Diploria labyrinthiformis,3,10,2,2,3,27,acclimation,0.626,
DL-1-21,20240709,Diploria labyrinthiformis,1,1,1,1,15,27,acclimation,0.634,
DL-1-22,20240709,Diploria labyrinthiformis,2,7,3,2,18,27,acclimation,0.626,
DL-1-23,20240709,Diploria labyrinthiformis,1,1,1,1,17,27,acclimation,0.63,
DL-1-24,20240708,Diploria labyrinthiformis,1,1,1,1,8,27,acclimation,0.626,
DL-1-25,20240708,Diploria labyrinthiformis,3,10,2,2,8,27,acclimation,0.626,
DL-1-26,20240709,Diploria labyrinthiformis,2,5,1,1,19,27,acclimation,0.635,
DL-1-28,20240709,Diploria labyrinthiformis,1,3,3,1,20,27,acclimation,0.626,
DL-1-3,20240708,Diploria labyrinthiformis,2,5,1,1,9,27,acclimation,0.626,
DL-1-4,20240708,Diploria labyrinthiformis,1,1,1,1,2,27,acclimation,0.625,
DL-1-5,20240708,Diploria labyrinthiformis,1,4,4,1,8,27,acclimation,0.635,
DL-1-6,20240709,Diploria labyrinthiformis,3,11,3,2,12,27,acclimation,0.635,
DL-1-7,20240709,Diploria labyrinthiformis,2,6,2,1,14,27,acclimation,0.63,
DL-1-8,20240709,Diploria labyrinthiformis,1,4,4,1,16,27,acclimation,0.626,
DL-1-9,20240708,Diploria labyrinthiformis,3,10,2,2,7,27,acclimation,0.633,
DL-2-1,20240709,Diploria labyrinthiformis,1,2,2,1,11,27,acclimation,0.635,
DL-2-10,20240709,Diploria labyrinthiformis,2,7,3,2,14,27,acclimation,0.635,
DL-2-11,20240709,Diploria labyrinthiformis,3,11,3,2,13,27,acclimation,0.63,
DL-2-12,20240708,Diploria labyrinthiformis,2,7,3,2,5,27,acclimation,0.625,
DL-2-13,20240709,Diploria labyrinthiformis,3,10,2,2,15,27,acclimation,0.607,
DL-2-14,20240709,Diploria labyrinthiformis,2,8,4,2,17,27,acclimation,0.63,
DL-2-15,20240708,Diploria labyrinthiformis,1,4,4,1,9,27,acclimation,0.627,
DL-2-17,20240708,Diploria labyrinthiformis,3,9,1,2,9,27,acclimation,0.628,
DL-2-18,20240708,Diploria labyrinthiformis,1,1,1,1,10,27,acclimation,0.635,
DL-2-19,20240709,Diploria labyrinthiformis,3,11,3,2,17,27,acclimation,0.635,
DL-2-2,20240708,Diploria labyrinthiformis,2,8,4,2,4,27,acclimation,0.625,
DL-2-20,20240708,Diploria labyrinthiformis,3,9,1,2,5,27,acclimation,0.635,
DL-2-21,20240709,Diploria labyrinthiformis,3,10,2,2,14,27,acclimation,0.63,
DL-2-21,20240708,Diploria labyrinthiformis,1,2,2,1,8,27,acclimation,0.63,
DL-2-22,20240708,Diploria labyrinthiformis,3,10,2,2,6,27,acclimation,0.635,
DL-2-23,20240708,Diploria labyrinthiformis,2,7,3,2,8,27,acclimation,0.634,
DL-2-24,20240709,Diploria labyrinthiformis,2,5,1,1,18,27,acclimation,0.626,
DL-2-25,20240709,Diploria labyrinthiformis,3,9,1,2,19,27,acclimation,0.63,
DL-2-3,20240709,Diploria labyrinthiformis,3,10,2,2,11,27,acclimation,0.635,
DL-2-4,20240708,Diploria labyrinthiformis,2,8,4,2,1,27,acclimation,0.644,
DL-2-5,20240709,Diploria labyrinthiformis,2,5,1,1,12,27,acclimation,0.618,
DL-2-6,20240708,Diploria labyrinthiformis,2,7,3,2,10,27,acclimation,0.629,
DL-2-7,20240709,Diploria labyrinthiformis,3,12,4,2,12,27,acclimation,0.635,
DL-2-8,20240708,Diploria labyrinthiformis,2,5,1,1,1,27,acclimation,0.636,
DL-2-9,20240708,Diploria labyrinthiformis,1,2,2,1,9,27,acclimation,0.635,
DL-3-1,20240708,Diploria labyrinthiformis,2,6,2,1,9,27,acclimation,0.629,
DL-3-10,20240709,Diploria labyrinthiformis,2,5,1,1,16,27,acclimation,0.638,
DL-3-11,20240708,Diploria labyrinthiformis,1,3,3,1,2,27,acclimation,0.63,
DL-3-12,20240709,Diploria labyrinthiformis,3,9,1,2,16,27,acclimation,0.635,
DL-3-13,20240709,Diploria labyrinthiformis,2,6,2,1,17,27,acclimation,0.635,
DL-3-14,20240708,Diploria labyrinthiformis,1,4,4,1,4,27,acclimation,0.63,
DL-3-15,20240708,Diploria labyrinthiformis,3,12,4,2,5,27,acclimation,0.625,
DL-3-16,20240708,Diploria labyrinthiformis,3,10,2,2,9,27,acclimation,0.634,
DL-3-17,20240708,Diploria labyrinthiformis,2,7,3,2,4,27,acclimation,0.631,
DL-3-18,20240708,Diploria labyrinthiformis,3,10,2,2,2,27,acclimation,0.636,
DL-3-19,20240709,Diploria labyrinthiformis,2,5,1,1,17,27,acclimation,0.633,
DL-3-2,20240708,Diploria labyrinthiformis,1,3,3,1,3,27,acclimation,0.634,
DL-3-20,20240709,Diploria labyrinthiformis,1,3,3,1,18,27,acclimation,0.627,
DL-3-21,20240708,Diploria labyrinthiformis,1,3,3,1,1,27,acclimation,0.627,
DL-3-22,20240709,Diploria labyrinthiformis,3,10,2,2,18,27,acclimation,0.635,
DL-3-23,20240708,Diploria labyrinthiformis,1,1,1,1,5,27,acclimation,0.636,
DL-3-24,20240708,Diploria labyrinthiformis,1,3,3,1,5,27,acclimation,0.627,
DL-3-25,20240709,Diploria labyrinthiformis,1,4,4,1,19,27,acclimation,0.634,
DL-3-26,20240708,Diploria labyrinthiformis,2,6,2,1,7,27,acclimation,0.63,
DL-3-3,20240709,Diploria labyrinthiformis,2,6,2,1,11,27,acclimation,0.635,
DL-3-4,20240709,Diploria labyrinthiformis,3,9,1,2,11,27,acclimation,0.635,
DL-3-5,20240709,Diploria labyrinthiformis,2,6,2,1,12,27,acclimation,0.64,
DL-3-6,20240709,Diploria labyrinthiformis,2,6,2,1,13,27,acclimation,0.632,
DL-3-7,20240709,Diploria labyrinthiformis,2,5,1,1,13,27,acclimation,0.636,
DL-3-8,20240708,Diploria labyrinthiformis,1,4,4,1,6,27,acclimation,0.634,
DL-3-9,20240709,Diploria labyrinthiformis,3,9,1,2,15,27,acclimation,0.644,
DL-4-1,20240709,Diploria labyrinthiformis,1,4,4,1,11,27,acclimation,0.61,
DL-4-10,20240708,Diploria labyrinthiformis,3,12,4,2,6,27,acclimation,0.63,
DL-4-11,20240709,Diploria labyrinthiformis,1,2,2,1,17,27,acclimation,0.625,
DL-4-12,20240708,Diploria labyrinthiformis,1,4,4,1,5,27,acclimation,0.626,
DL-4-13,20240709,Diploria labyrinthiformis,3,12,4,2,18,27,acclimation,0.633,
DL-4-30,20240709,Diploria labyrinthiformis,1,2,2,1,20,27,acclimation,0.633,
DL-4-14,20240709,Diploria labyrinthiformis,1,2,2,1,19,27,acclimation,0.633,
DL-4-15,20240709,Diploria labyrinthiformis,1,4,4,1,15,27,acclimation,0.63,
DL-4-16,20240709,Diploria labyrinthiformis,1,1,1,1,19,27,acclimation,0.626,
DL-4-17,20240708,Diploria labyrinthiformis,1,3,3,1,7,27,acclimation,0.615,
DL-4-18,20240709,Diploria labyrinthiformis,3,10,2,2,19,27,acclimation,0.628,
DL-4-19,20240708,Diploria labyrinthiformis,1,3,3,1,4,27,acclimation,0.63,
DL-4-2,20240709,Diploria labyrinthiformis,2,7,3,2,12,27,acclimation,0.625,
DL-4-20,20240708,Diploria labyrinthiformis,3,12,4,2,3,27,acclimation,0.625,
DL-4-21,20240708,Diploria labyrinthiformis,2,6,2,1,1,27,acclimation,0.631,
DL-4-22,20240709,Diploria labyrinthiformis,2,7,3,2,19,27,acclimation,0.625,
DL-4-23,20240708,Diploria labyrinthiformis,1,4,4,1,3,27,acclimation,0.635,
DL-4-24,20240708,Diploria labyrinthiformis,2,8,4,2,8,27,acclimation,0.617,
DL-4-25,20240708,Diploria labyrinthiformis,2,6,2,1,3,27,acclimation,0.63,
DL-4-26,20240708,Diploria labyrinthiformis,3,11,3,2,2,27,acclimation,0.635,
DL-4-3,20240709,Diploria labyrinthiformis,2,8,4,2,13,27,acclimation,0.625,
DL-4-4,20240709,Diploria labyrinthiformis,3,12,4,2,13,27,acclimation,0.635,
DL-4-5,20240709,Diploria labyrinthiformis,1,2,2,1,14,27,acclimation,0.625,
DL-4-6,20240708,Diploria labyrinthiformis,2,5,1,1,2,27,acclimation,0.627,
DL-4-7,20240709,Diploria labyrinthiformis,3,10,2,2,16,27,acclimation,0.625,
DL-4-8,20240708,Diploria labyrinthiformis,1,4,4,1,2,27,acclimation,0.626,
DL-4-9,20240709,Diploria labyrinthiformis,3,11,3,2,16,27,acclimation,0.62,
DL-2-16,20240708,Diploria labyrinthiformis,3,11,3,2,6,27,acclimation,0.633,
MD-1-1,20240708,Madracis decactis,2,6,2,1,5,27,acclimation,0.644,
MD-1-10,20240709,Madracis decactis,2,7,3,2,11,27,acclimation,0.636,
MD-1-11,20240708,Madracis decactis,1,4,4,1,1,27,acclimation,0.644,
MD-1-12,20240709,Madracis decactis,1,1,1,1,14,27,acclimation,0.636,
MD-1-13,20240709,Madracis decactis,1,1,1,1,16,27,acclimation,0.64,
MD-1-14,20240709,Madracis decactis,3,12,4,2,16,27,acclimation,0.64,
MD-1-15,20240709,Madracis decactis,3,10,2,2,17,27,acclimation,0.637,
MD-1-16,20240709,Madracis decactis,3,11,3,2,18,27,acclimation,0.635,
MD-1-17,20240709,Madracis decactis,1,4,4,1,20,27,acclimation,0.642,
MD-1-18,20240709,Madracis decactis,2,8,4,2,19,27,acclimation,0.636,
MD-1-19,20240708,Madracis decactis,3,9,1,2,3,27,acclimation,0.644,
MD-1-2,20240708,Madracis decactis,2,8,4,2,9,27,acclimation,0.636,
MD-1-20,20240709,Madracis decactis,1,3,3,1,13,27,acclimation,0.64,
MD-1-21,20240708,Madracis decactis,2,8,4,2,5,27,acclimation,0.635,
MD-1-23,20240708,Madracis decactis,1,4,4,1,7,27,acclimation,0.641,
MD-1-24,20240708,Madracis decactis,2,5,1,1,6,27,acclimation,0.635,
MD-1-25,20240708,Madracis decactis,2,8,4,2,7,27,acclimation,0.64,
MD-1-26,20240708,Madracis decactis,2,7,3,2,6,27,acclimation,0.642,
MD-1-3,20240708,Madracis decactis,3,10,2,2,4,27,acclimation,0.636,
MD-1-4,20240709,Madracis decactis,1,1,1,1,13,27,acclimation,0.641,
MD-1-5,20240708,Madracis decactis,3,11,3,2,9,27,acclimation,0.635,
MD-1-6,20240708,Madracis decactis,3,12,4,2,4,27,acclimation,0.635,
MD-1-7,20240709,Madracis decactis,1,3,3,1,12,27,acclimation,0.633,
MD-1-8,20240709,Madracis decactis,2,8,4,2,11,27,acclimation,0.64,
MD-1-9,20240708,Madracis decactis,3,9,1,2,7,27,acclimation,0.64,
MD-2-1,20240709,Madracis decactis,2,5,1,1,11,27,acclimation,0.636,
MD-2-10,20240709,Madracis decactis,1,4,4,1,13,27,acclimation,0.635,
MD-2-11,20240708,Madracis decactis,2,6,2,1,10,27,acclimation,0.643,
MD-2-12,20240708,Madracis decactis,2,5,1,1,10,27,acclimation,0.642,
MD-2-13,20240708,Madracis decactis,1,3,3,1,6,27,acclimation,0.635,
MD-2-14,20240708,Madracis decactis,3,10,2,2,1,27,acclimation,0.635,
MD-2-15,20240708,Madracis decactis,2,8,4,2,10,27,acclimation,0.64,
MD-2-16,20240708,Madracis decactis,3,10,2,2,5,27,acclimation,0.641,
MD-2-17,20240709,Madracis decactis,2,6,2,1,15,27,acclimation,0.636,
MD-2-18,20240709,Madracis decactis,1,3,3,1,15,27,acclimation,0.643,
MD-2-19,20240709,Madracis decactis,1,4,4,1,17,27,acclimation,0.635,
MD-2-2,20240709,Madracis decactis,1,4,4,1,12,27,acclimation,0.643,
MD-2-20,20240708,Madracis decactis,1,3,3,1,10,27,acclimation,0.636,
MD-2-22,20240709,Madracis decactis,2,8,4,2,18,27,acclimation,0.635,
MD-2-21,20240709,Madracis decactis,3,12,4,2,17,27,acclimation,0.64,
MD-2-23,20240708,Madracis decactis,3,11,3,2,5,27,acclimation,0.636,
MD-2-25,20240709,Madracis decactis,2,7,3,2,16,27,acclimation,0.642,
MD-2-26,20240708,Madracis decactis,1,2,2,1,10,27,acclimation,0.628,
MD-2-3,20240709,Madracis decactis,2,6,2,1,19,27,acclimation,0.64,
MD-2-31,20240708,Madracis decactis,1,2,2,1,4,27,acclimation,0.64,
MD-2-36,20240709,Madracis decactis,1,3,3,1,19,27,acclimation,0.64,
MD-2-4,20240709,Madracis decactis,3,10,2,2,12,27,acclimation,0.636,
MD-2-5,20240708,Madracis decactis,1,2,2,1,7,27,acclimation,0.637,
MD-2-6,20240708,Madracis decactis,3,11,3,2,4,27,acclimation,0.636,
MD-2-7,20240708,Madracis decactis,1,2,2,1,2,27,acclimation,0.636,
MD-2-8,20240708,Madracis decactis,1,1,1,1,6,27,acclimation,0.643,
MD-2-9,20240709,Madracis decactis,1,4,4,1,14,27,acclimation,0.635,
MD-4-1,20240708,Madracis decactis,1,2,2,1,1,27,acclimation,0.64,
MD-4-10,20240708,Madracis decactis,3,12,4,2,8,27,acclimation,0.635,
MD-4-11,20240708,Madracis decactis,3,12,4,2,2,27,acclimation,0.635,
MD-4-12,20240708,Madracis decactis,2,7,3,2,7,27,acclimation,0.641,
MD-4-13,20240708,Madracis decactis,2,8,4,2,2,27,acclimation,0.644,
MD-4-14,20240709,Madracis decactis,3,12,4,2,14,27,acclimation,0.636,
MD-4-15,20240708,Madracis decactis,2,5,1,1,4,27,acclimation,0.64,
MD-4-16,20240709,Madracis decactis,2,7,3,2,15,27,acclimation,0.64,
MD-4-17,20240709,Madracis decactis,3,12,4,2,15,27,acclimation,0.635,
MD-4-18,20240708,Madracis decactis,3,11,3,2,1,27,acclimation,0.626,
MD-4-19,20240709,Madracis decactis,1,3,3,1,16,27,acclimation,0.64,
MD-4-2,20240709,Madracis decactis,3,11,3,2,11,27,acclimation,0.635,
MD-4-20,20240708,Madracis decactis,2,5,1,1,3,27,acclimation,0.636,
MD-4-21,20240708,Madracis decactis,2,7,3,2,9,27,acclimation,0.641,
MD-4-22,20240709,Madracis decactis,3,9,1,2,17,27,acclimation,0.636,
MD-4-23,20240708,Madracis decactis,2,6,2,1,4,27,acclimation,0.64,
MD-4-24,20240709,Madracis decactis,1,2,2,1,18,27,acclimation,0.643,
MD-4-25,20240709,Madracis decactis,1,4,4,1,18,27,acclimation,0.6445,
MD-4-26,20240708,Madracis decactis,2,7,3,2,3,27,acclimation,0.63,
MD-4-3,20240709,Madracis decactis,2,8,4,2,12,27,acclimation,0.635,
MD-4-4,20240708,Madracis decactis,3,9,1,2,8,27,acclimation,0.638,
MD-4-5,20240708,Madracis decactis,3,11,3,2,8,27,acclimation,0.635,
MD-4-6,20240708,Madracis decactis,1,2,2,1,3,27,acclimation,0.636,
MD-4-7,20240709,Madracis decactis,3,10,2,2,13,27,acclimation,0.635,
MD-4-8,20240709,Madracis decactis,2,8,4,2,14,27,acclimation,0.637,
MD-4-9,20240708,Madracis decactis,2,5,1,1,8,27,acclimation,0.64,
MD-5-1,20240708,Madracis decactis,3,12,4,2,7,27,acclimation,0.638,
MD-5-10,20240708,Madracis decactis,2,7,3,2,1,27,acclimation,0.637,
MD-5-11,20240709,Madracis decactis,3,11,3,2,14,27,acclimation,0.64,
MD-5-12,20240708,Madracis decactis,1,1,1,1,7,27,acclimation,0.635,
MD-5-13,20240708,Madracis decactis,2,6,2,1,6,27,acclimation,0.637,
MD-5-14,20240708,Madracis decactis,2,5,1,1,7,27,acclimation,0.637,
MD-5-15,20240709,Madracis decactis,3,11,3,2,15,27,acclimation,0.635,
MD-5-16,20240708,Madracis decactis,1,2,2,1,5,27,acclimation,0.636,
MD-5-17,20240709,Madracis decactis,2,6,2,1,16,27,acclimation,0.641,
MD-5-18,20240709,Madracis decactis,1,3,3,1,17,27,acclimation,0.635,
MD-5-2,20240708,Madracis decactis,2,8,4,2,6,27,acclimation,0.64,
MD-5-20,20240709,Madracis decactis,2,6,2,1,18,27,acclimation,0.637,
MD-5-21,20240709,Madracis decactis,1,2,2,1,15,27,acclimation,0.64,
MD-5-22,20240708,Madracis decactis,2,6,2,1,2,27,acclimation,0.626,
MD-5-23,20240709,Madracis decactis,3,11,3,2,19,27,acclimation,0.637,
MD-5-24,20240708,Madracis decactis,1,1,1,1,9,27,acclimation,0.627,
MD-5-25,20240708,Madracis decactis,1,2,2,1,6,27,acclimation,0.627,
MD-5-26,20240708,Madracis decactis,3,9,1,2,1,27,acclimation,0.635,
MD-5-3,20240708,Madracis decactis,3,12,4,2,9,27,acclimation,0.625,
MD-5-4,20240709,Madracis decactis,1,3,3,1,11,27,acclimation,0.635,
MD-5-5,20240709,Madracis decactis,3,9,1,2,12,27,acclimation,0.635,
MD-5-6,20240709,Madracis decactis,3,9,1,2,13,27,acclimation,0.635,
MD-5-7,20240708,Madracis decactis,2,7,3,2,2,27,acclimation,0.635,
MD-5-8,20240709,Madracis decactis,1,3,3,1,14,27,acclimation,0.642,
MD-5-9,20240708,Madracis decactis,3,9,1,2,4,27,acclimation,0.635,
